player,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,games,minutes,minutes_per_game,minutes_pct,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,miscontrols,dispossessed,passes_received,progressive_passes_received,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,club,goals_pens,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Aaron Mooy,MF,Australia,32-094,1990.0,4.0,9.0,6.0,4.0,4.0,1.0,6.0,8.0,75.0,2.0,6.0,4.0,2.0,3.0,12.0,9.0,0.0,5.0,1.25,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,10.0,0.0,0.0,0.0,35.0,2.0,3.0,40.0,170.0,217.0,78.3,2819.0,951.0,78.0,90.0,86.7,59.0,73.0,80.8,18.0,31.0,58.1,0.0,0.1,0.1,-0.1,1.0,22.0,1.0,0.0,14.0,206.0,11.0,8.0,0.0,4.0,0.0,3.0,0.0,3.0,0.0,0.0,4.0,4,360.0,90.0,100.0,4,90.0,4,0,,0,1.5,4.0,6.0,-2.0,-0.5,,2.3,7.2,-4.9,-1.23,,255.0,14.0,62.0,168.0,26.0,0.0,255.0,2.0,3.0,66.7,5.0,4.0,152.0,1.0,0.0,1.0,0.0,0.0,0.25,0.0,0.0,,29.1,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,Celtic,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.02,0.03,0.01,0.03
Aaron Ramsey,MF,Wales,31-357,1990.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,4.0,1.0,3.0,0.0,2.0,2.0,1.0,3.0,1.02,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,5.0,0.0,0.0,0.0,19.0,0.0,2.0,0.0,88.0,112.0,78.6,1796.0,339.0,37.0,41.0,90.2,27.0,35.0,77.1,18.0,23.0,78.3,0.0,0.0,0.1,0.0,1.0,7.0,1.0,0.0,5.0,101.0,10.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,3,266.0,89.0,98.5,3,89.0,2,0,,0,0.33,1.0,4.0,-3.0,-1.02,43.98,2.6,4.1,-1.5,-0.49,9.06,147.0,6.0,32.0,73.0,42.0,5.0,147.0,2.0,8.0,25.0,9.0,4.0,98.0,7.0,0.0,1.0,0.0,0.0,0.34,0.0,0.0,,18.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,Nice,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.01,0.02,0.01,0.02
Abdelhamid Sabiri,MF,Morocco,26-020,1996.0,2.0,3.0,1.0,1.0,2.0,0.0,2.0,6.0,33.3,4.0,3.0,1.0,2.0,5.0,8.0,3.0,0.0,4.0,2.4,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,7.0,2.0,2.0,50.0,45.0,58.0,77.6,690.0,122.0,30.0,33.0,90.9,7.0,13.0,53.8,7.0,10.0,70.0,1.0,0.9,0.1,0.1,3.0,3.0,0.0,0.0,0.0,55.0,3.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5,181.0,36.0,27.4,2,55.0,0,3,24.0,2,1.6,5.0,3.0,2.0,0.99,1.18,3.1,1.6,1.5,0.9,1.3,86.0,5.0,23.0,50.0,13.0,1.0,86.0,0.0,3.0,0.0,0.0,3.0,54.0,0.0,0.0,3.0,0.0,0.0,1.49,0.0,0.0,,34.2,1.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1,Sampdoria,0.0,0.0,0.5,0.5,0.0,0.5,1.0,0.08,0.53,0.6,0.08,0.6
Abdelkarim Hassan,DF,Qatar,29-112,1993.0,3.0,7.0,3.0,5.0,2.0,0.0,3.0,4.0,75.0,1.0,3.0,1.0,2.0,1.0,8.0,5.0,0.0,4.0,1.33,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,6.0,0.0,0.0,0.0,11.0,3.0,1.0,75.0,122.0,161.0,75.8,2462.0,813.0,57.0,63.0,90.5,44.0,51.0,86.3,20.0,37.0,54.1,0.0,0.0,0.1,0.0,1.0,13.0,1.0,0.0,8.0,148.0,13.0,11.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,3,270.0,90.0,100.0,3,90.0,3,0,,0,0.0,1.0,7.0,-6.0,-2.0,,1.4,3.5,-2.1,-0.71,,193.0,15.0,83.0,95.0,17.0,2.0,193.0,1.0,5.0,20.0,2.0,0.0,138.0,1.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,,23.6,0.0,0.0,0.0,0.3,0.3,0.05,-0.3,-0.3,Al Sadd SC,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.01,0.11,0.1,0.11
Abderrazak Hamdallah,FW,Morocco,32-001,1990.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,7.0,12.5,8.0,15.0,53.3,64.0,11.0,7.0,9.0,77.8,0.0,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,68.0,17.0,10.3,0,,0,4,17.0,3,1.75,2.0,1.0,1.0,1.32,1.32,1.9,1.0,0.9,1.16,1.42,28.0,2.0,2.0,15.0,12.0,5.0,28.0,2.0,3.0,66.7,4.0,3.0,18.0,3.0,0.0,2.0,1.0,50.0,2.65,1.32,0.0,0.0,7.8,0.0,0.0,0.0,0.4,0.4,0.2,-0.4,-0.4,Al-Ittihad,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.52,0.0,0.52,0.52,0.52
Abdessamad Ezzalzouli,FW,Morocco,21-001,2001.0,1.0,3.0,2.0,2.0,1.0,0.0,1.0,1.0,100.0,0.0,4.0,1.0,3.0,0.0,3.0,3.0,0.0,4.0,5.63,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,2.0,33.3,10.0,13.0,76.9,118.0,38.0,8.0,9.0,88.9,2.0,2.0,100.0,0.0,2.0,0.0,0.0,0.3,0.4,-0.3,2.0,0.0,0.0,0.0,2.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,93.0,31.0,14.1,0,,0,3,31.0,4,0.67,0.0,1.0,-1.0,-0.97,-1.29,1.1,1.4,-0.3,-0.48,-0.41,40.0,2.0,17.0,9.0,16.0,5.0,40.0,1.0,2.0,50.0,9.0,1.0,16.0,3.0,0.0,1.0,0.0,0.0,0.97,0.0,0.0,,13.7,0.0,0.0,0.0,0.1,0.1,0.06,-0.1,-0.1,Osasuna,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.09,0.39,0.49,0.09,0.49
Abdou Diallo,DF,Senegal,26-228,1996.0,3.7,2.0,2.0,2.0,0.0,0.0,2.0,2.0,100.0,0.0,1.0,1.0,0.0,1.0,3.0,10.0,0.0,2.0,0.54,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,17.0,7.0,6.0,53.8,139.0,186.0,74.7,2852.0,1121.0,42.0,51.0,82.4,71.0,79.0,89.9,22.0,47.0,46.8,0.0,0.1,0.0,-0.1,1.0,10.0,1.0,1.0,8.0,165.0,20.0,12.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,4,331.0,83.0,91.9,4,83.0,3,0,,0,1.5,5.0,5.0,0.0,0.0,6.21,4.0,3.2,0.8,0.21,-0.59,210.0,19.0,98.0,98.0,15.0,1.0,210.0,0.0,0.0,,2.0,2.0,138.0,0.0,0.0,1.0,0.0,0.0,0.27,0.0,0.0,,15.4,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,RB Leipzig,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.02,0.03,0.01,0.03
Abdul Fatawu Issahaku,FW,Ghana,18-285,2004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,100.0,48.0,36.0,0.0,0.0,,0.0,0.0,,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.4,0,,0,1,1.0,2,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,-3.29,-2.82,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Sporting CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdulaziz Hatem,MF,Qatar,32-051,1990.0,2.2,1.0,1.0,0.0,0.0,1.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.92,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,2.0,33.3,72.0,91.0,79.1,973.0,231.0,46.0,53.0,86.8,17.0,22.0,77.3,4.0,6.0,66.7,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,84.0,6.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,3,196.0,65.0,72.6,2,87.0,1,1,22.0,0,0.0,1.0,5.0,-4.0,-1.84,0.6,0.7,3.0,-2.4,-1.08,-1.36,98.0,1.0,13.0,65.0,20.0,0.0,98.0,1.0,1.0,100.0,1.0,1.0,80.0,2.0,0.0,1.0,1.0,100.0,0.46,0.46,0.0,0.0,27.4,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,Al Rayyan SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02
Abdulelah Al-Amri,DF,Saudi Arabia,25-337,1997.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,4.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,15.0,10.0,4.0,71.4,74.0,104.0,71.2,1677.0,951.0,26.0,35.0,74.3,26.0,33.0,78.8,22.0,34.0,64.7,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,11.0,99.0,5.0,4.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,182.0,61.0,67.4,2,90.0,2,1,2.0,0,1.0,1.0,4.0,-3.0,-1.48,-2.51,2.8,3.9,-1.1,-0.53,1.49,129.0,12.0,58.0,65.0,7.0,2.0,129.0,0.0,0.0,,1.0,0.0,63.0,0.0,0.0,1.0,0.0,0.0,0.49,0.0,0.0,,10.5,0.0,0.0,0.0,0.1,0.1,0.07,-0.1,-0.1,Al-Nassr,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.0,0.03,0.03,0.03
Abdulellah Al-Malki,MF,Saudi Arabia,28-068,1994.0,1.9,3.0,1.0,3.0,0.0,0.0,1.0,3.0,33.3,2.0,3.0,0.0,3.0,2.0,5.0,4.0,1.0,2.0,1.03,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.52,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,4.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,66.0,84.0,78.6,1057.0,288.0,30.0,32.0,93.8,31.0,42.0,73.8,4.0,7.0,57.1,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,78.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,174.0,87.0,64.4,2,87.0,1,0,,0,1.5,2.0,3.0,-1.0,-0.52,0.42,1.8,3.5,-1.7,-0.9,0.31,105.0,6.0,28.0,63.0,17.0,1.0,105.0,0.0,0.0,,3.0,0.0,58.0,2.0,0.0,2.0,0.0,0.0,1.03,0.0,0.0,,21.1,0.0,0.0,0.0,0.1,0.1,0.06,-0.1,-0.1,Al-Hilal,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.06,0.0,0.06,0.06,0.06
Abdullah Madu,DF,Saudi Arabia,29-156,1993.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,3.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,50.0,5.0,13.0,38.5,89.0,64.0,2.0,3.0,66.7,2.0,6.0,33.3,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,45.0,45.0,16.7,0,,0,1,45.0,2,0.0,1.0,2.0,-1.0,-2.0,-1.6,0.9,1.3,-0.4,-0.79,0.27,19.0,4.0,12.0,8.0,0.0,0.0,19.0,0.0,0.0,,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Al-Nassr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdulrahman Al-Aboud,MF,Saudi Arabia,27-200,1995.0,0.4,3.0,3.0,2.0,1.0,0.0,1.0,5.0,20.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,50.0,8.0,13.0,61.5,79.0,19.0,5.0,5.0,100.0,2.0,5.0,40.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,35.0,18.0,13.0,0,,0,2,18.0,1,0.0,1.0,0.0,1.0,2.57,3.72,0.8,0.9,-0.1,-0.18,0.95,22.0,0.0,3.0,5.0,14.0,2.0,22.0,0.0,3.0,0.0,2.0,0.0,12.0,4.0,0.0,1.0,0.0,0.0,2.57,0.0,0.0,,4.6,0.0,0.0,0.0,0.1,0.1,0.07,-0.1,-0.1,Al-Ittihad,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.18,0.06,0.24,0.18,0.24
Abolfazl Jalali,DF,IR Iran,24-175,1998.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.74,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,,20.0,29.0,69.0,311.0,51.0,9.0,9.0,100.0,11.0,14.0,78.6,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,21.0,8.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1,19.0,19.0,7.0,0,,0,1,19.0,2,0.0,0.0,0.0,0.0,0.0,1.08,0.2,0.1,0.1,0.43,0.81,34.0,1.0,5.0,18.0,12.0,0.0,34.0,1.0,5.0,20.0,0.0,1.0,18.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Esteghlal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Achraf Dari,DF,Morocco,23-226,1999.0,2.1,1.0,0.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,7.0,4.0,3.0,5.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,5.0,50.0,99.0,111.0,89.2,1812.0,752.0,37.0,39.0,94.9,55.0,57.0,96.5,7.0,13.0,53.8,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,107.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,187.0,62.0,28.3,2,77.0,1,1,34.0,4,1.0,1.0,4.0,-3.0,-1.44,-2.2,2.3,3.1,-0.8,-0.37,-0.37,139.0,24.0,84.0,51.0,4.0,1.0,139.0,0.0,0.0,,0.0,1.0,85.0,0.0,1.0,1.0,1.0,100.0,0.48,0.48,1.0,1.0,4.1,0.0,0.0,0.0,0.6,0.6,0.63,0.4,0.4,Brest,1.0,0.48,0.0,0.48,0.48,0.48,0.6,0.3,0.0,0.3,0.3,0.3
Achraf Hakimi,DF,Morocco,24-044,1998.0,7.0,26.0,17.0,15.0,10.0,1.0,17.0,28.0,60.7,11.0,7.0,1.0,6.0,9.0,35.0,12.0,0.0,14.0,2.1,12.0,0.0,1.0,0.0,1.0,0.0,1.0,0.15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,0.0,12.0,0.0,0.0,0.0,46.0,5.0,8.0,38.5,312.0,382.0,81.7,4121.0,1792.0,207.0,232.0,89.2,63.0,80.0,78.8,19.0,32.0,59.4,1.0,0.5,0.6,0.5,6.0,14.0,6.0,5.0,10.0,308.0,73.0,6.0,1.0,5.0,67.0,0.0,0.0,0.0,0.0,1.0,8.0,7,631.0,90.0,95.6,7,90.0,5,0,,0,1.57,4.0,5.0,-1.0,-0.14,-6.35,5.3,7.4,-2.1,-0.31,-2.21,478.0,25.0,185.0,190.0,111.0,14.0,478.0,2.0,15.0,13.3,17.0,8.0,280.0,18.0,0.0,4.0,1.0,25.0,0.57,0.14,0.0,0.0,26.5,1.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,Paris S-G,0.0,0.0,0.14,0.14,0.0,0.14,0.6,0.02,0.07,0.09,0.02,0.09
Adrien Rabiot,MF,France,27-259,1995.0,5.4,12.0,9.0,4.0,6.0,2.0,4.0,7.0,57.1,3.0,11.0,2.0,9.0,10.0,22.0,6.0,0.0,11.0,2.05,10.0,0.0,0.0,1.0,0.0,0.0,1.0,0.19,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,4.0,0.0,7.0,0.0,0.0,0.0,30.0,15.0,8.0,65.2,237.0,284.0,83.5,3769.0,838.0,129.0,145.0,89.0,83.0,94.0,88.3,18.0,26.0,69.2,1.0,0.9,0.5,0.1,3.0,36.0,0.0,0.0,13.0,277.0,6.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,6,483.0,81.0,73.2,5,91.0,4,1,28.0,0,2.17,13.0,6.0,7.0,1.3,0.8,10.4,7.2,3.2,0.59,0.32,350.0,16.0,62.0,203.0,88.0,19.0,350.0,2.0,5.0,40.0,5.0,7.0,243.0,17.0,1.0,9.0,4.0,44.4,1.68,0.75,0.11,0.25,13.3,0.0,0.0,0.0,1.1,1.1,0.12,-0.1,-0.1,Juventus,1.0,0.19,0.19,0.37,0.19,0.37,1.9,0.2,0.16,0.36,0.2,0.36
Agustín Canobbio,MF,Uruguay,24-078,1998.0,0.1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,5.0,7.0,71.4,66.0,38.0,3.0,4.0,75.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11.0,11.0,4.1,0,,0,1,11.0,2,3.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,-0.4,-3.14,-3.32,11.0,1.0,5.0,1.0,5.0,0.0,11.0,0.0,0.0,,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Atl Paranaense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmad Nourollahi,MF,IR Iran,29-319,1993.0,2.5,4.0,3.0,1.0,1.0,2.0,1.0,2.0,50.0,1.0,3.0,0.0,3.0,6.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,15.0,1.0,0.0,100.0,35.0,54.0,64.8,519.0,150.0,16.0,21.0,76.2,13.0,21.0,61.9,2.0,6.0,33.3,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,223.0,74.0,82.6,3,74.0,0,0,,0,1.0,1.0,6.0,-5.0,-2.02,-5.85,1.6,3.1,-1.5,-0.6,-1.61,85.0,10.0,28.0,37.0,22.0,0.0,85.0,1.0,2.0,50.0,3.0,0.0,39.0,1.0,0.0,5.0,1.0,20.0,2.02,0.4,0.0,0.0,29.2,0.0,0.0,0.0,0.1,0.1,0.02,-0.1,-0.1,Al-Ahli Dubai FC,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.04,0.0,0.04,0.04,0.04
Ahmed Alaaeldin,FW,Qatar,29-321,1993.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,6.0,6.0,2.2,0,,0,1,6.0,2,0.0,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.0,-0.07,0.65,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Al-Gharafa Sports Club,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aimen Dahmen,GK,Tunisia,25-324,1997.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,48.0,77.0,62.3,1544.0,1175.0,9.0,9.0,100.0,18.0,18.0,100.0,21.0,50.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,23.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,270.0,90.0,100.0,3,90.0,3,0,,0,1.33,1.0,1.0,0.0,0.0,,2.3,2.8,-0.5,-0.17,,82.0,73.0,82.0,0.0,0.0,0.0,82.0,0.0,0.0,,0.0,0.0,34.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,CS Sfaxien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
